subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
108,001,0,source,0,SCABS,LF,target,right,aqua,pleasantness,conservative,yes,2,0,3.62568216463,-,-
108,001,0,source,1,SIESTA,LF,target,right,aqua,pleasantness,liberal,no,9,1,2.35958278617,-,-
108,001,0,source,2,BROUGHT,HF,target,left,yellow,imageability,liberal,no,1,1,2.79928870842,-,-
108,001,0,source,3,ENVIRONS,LF,target,left,yellow,imageability,conservative,no,7,0,2.77267558109,-,-
108,001,0,source,4,BOOKS,HF,target,left,yellow,imageability,liberal,no,7,0,2.31926660933,-,-
108,001,0,source,5,SERIOUS,HF,target,right,aqua,pleasantness,liberal,no,8,1,1.3332020879,-,-
108,001,0,source,6,SHUNNED,LF,target,left,yellow,imageability,liberal,yes,2,1,0.933343451697,-,-
108,001,0,source,7,SUBJECT,HF,target,right,aqua,pleasantness,conservative,no,8,1,1.70633798118,-,-
108,001,0,source,8,ULCER,LF,target,left,yellow,imageability,liberal,no,8,0,1.39983920602,-,-
108,001,0,source,9,FLOOR,HF,target,left,yellow,imageability,liberal,no,2,1,1.18632855204,-,-
108,001,0,source,10,AMULETS,LF,target,left,yellow,imageability,conservative,no,2,1,1.35982328059,-,-
108,001,0,source,11,ODDER,LF,target,right,aqua,pleasantness,liberal,no,8,1,2.83927823811,-,-
108,001,0,source,12,ANSWER,HF,target,right,aqua,pleasantness,conservative,no,8,1,1.74611487861,-,-
108,001,0,source,13,EXUDED,LF,target,right,aqua,pleasantness,conservative,no,9,1,1.47959903421,-,-
108,001,0,source,14,CAKED,LF,target,left,yellow,imageability,liberal,no,3,1,2.50582832364,-,-
108,001,0,source,15,JARRED,LF,target,left,yellow,imageability,conservative,no,3,1,0.893359421112,-,-
108,001,0,source,16,OPENED,HF,target,left,yellow,imageability,conservative,no,7,0,1.90607409721,-,-
108,001,0,source,17,ANVIL,LF,target,left,yellow,imageability,conservative,no,1,1,1.8130698453,-,-
108,001,0,source,18,YACHTING,LF,target,left,yellow,imageability,liberal,no,3,1,2.01274107183,-,-
108,001,0,source,19,EXCEPT,HF,target,right,aqua,pleasantness,conservative,no,7,1,1.82638759049,-,-
108,001,0,source,20,VAINLY,LF,target,right,aqua,pleasantness,conservative,no,7,1,1.53287331443,-,-
108,001,0,source,21,RETURN,HF,target,left,yellow,imageability,liberal,no,7,0,0.786737172592,-,-
108,001,0,source,22,SPACE,HF,target,left,yellow,imageability,liberal,no,2,1,1.00008908559,-,-
108,001,0,source,23,AGILITY,LF,target,right,aqua,pleasantness,liberal,no,1,0,3.8656450053,-,-
108,001,0,source,24,WHITE,HF,target,right,aqua,pleasantness,liberal,no,8,1,1.73311131592,-,-
108,001,0,source,25,FUTURE,HF,target,left,yellow,imageability,conservative,yes,8,0,0.653565953029,-,-
108,001,0,source,26,WOMAN,HF,target,right,aqua,pleasantness,conservative,no,9,1,1.43955488002,-,-
108,001,0,source,27,PROBABLY,HF,target,right,aqua,pleasantness,conservative,no,8,1,0.960016702631,-,-
108,001,0,source,28,ACCORDING,HF,target,right,aqua,pleasantness,conservative,no,2,0,1.11969619982,-,-
108,001,0,source,29,TAWNY,LF,target,left,yellow,imageability,conservative,no,8,0,2.11931492818,-,-
108,001,0,source,30,USUAL,HF,target,right,aqua,pleasantness,liberal,no,8,1,0.826457612491,-,-
108,001,0,source,31,DULLED,LF,target,right,aqua,pleasantness,conservative,no,2,0,1.63950436153,-,-
108,001,0,source,32,VESTIBULE,LF,target,right,aqua,pleasantness,conservative,no,3,0,1.27989188016,-,-
108,001,0,source,33,SLOWLY,HF,target,left,yellow,imageability,conservative,no,1,1,1.75945278721,-,-
108,001,0,source,34,PREPARED,HF,target,left,yellow,imageability,conservative,no,8,0,2.95920796682,-,-
108,001,0,source,35,BRACES,LF,target,left,yellow,imageability,liberal,no,8,0,3.77224958335,-,-
108,001,0,source,36,MAJOR,HF,target,left,yellow,imageability,conservative,no,8,0,1.37319345063,-,-
108,001,0,source,37,USELESSLY,LF,target,right,aqua,pleasantness,liberal,no,7,1,1.46623656292,-,-
108,001,0,source,38,QUICKLY,HF,target,right,aqua,pleasantness,liberal,no,3,0,3.14556254798,-,-
108,001,0,source,39,COGENT,LF,target,right,aqua,pleasantness,liberal,no,3,0,4.17227319286,-,-
108,001,0,source,40,PHOBIC,LF,target,left,yellow,imageability,liberal,no,7,0,2.41277054706,-,-
108,001,0,source,41,COUNCIL,HF,target,right,aqua,pleasantness,liberal,no,9,1,1.43957321039,-,-
108,001,0,source,42,JEALOUSLY,LF,target,left,yellow,imageability,conservative,yes,8,0,0.613422448248,-,-
108,001,0,source,43,WAITING,HF,target,left,yellow,imageability,conservative,no,2,1,2.89229369355,-,-
108,001,0,source,44,HOSPITAL,HF,target,right,aqua,pleasantness,liberal,no,8,1,1.09326087706,-,-
108,001,0,source,45,RALLIED,LF,target,right,aqua,pleasantness,liberal,no,2,0,1.86608273448,-,-
108,001,0,source,46,CIPHER,LF,target,right,aqua,pleasantness,conservative,no,2,0,2.1992859222,-,-
108,001,0,source,47,TRIED,HF,target,left,yellow,imageability,liberal,no,2,1,0.706801739479,-,-
108,001,0,recog,0,DAILIES,LF,lure,-,-,-,conservative,no,m,1,4.53203048413,3,3
108,001,0,recog,1,SUBJECT,HF,target,right,aqua,pleasantness,conservative,no,z,1,1.08004541532,1,4
108,001,0,recog,2,RALLIED,LF,target,right,aqua,pleasantness,liberal,no,z,1,2.21262163115,3,7
108,001,0,recog,3,NIPPED,LF,lure,-,-,-,conservative,no,m,1,1.71953547916,3,10
108,001,0,recog,4,PREPARED,HF,target,left,yellow,imageability,conservative,no,z,1,2.35946217235,1,11
108,001,0,recog,5,APART,HF,lure,-,-,-,conservative,no,m,1,1.08024265007,3,14
108,001,0,recog,6,MYSELF,HF,lure,-,-,-,liberal,yes,z,0,1.28003449042,-1,13
108,001,0,recog,7,COGENT,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.42626353056,3,16
108,001,0,recog,8,SLOWLY,HF,target,left,yellow,imageability,conservative,no,z,1,0.933455266938,1,17
108,001,0,recog,9,DULLED,LF,target,right,aqua,pleasantness,conservative,no,z,1,0.786618391811,1,18
108,001,0,recog,10,SIESTA,LF,target,right,aqua,pleasantness,liberal,no,z,1,0.920036338121,3,21
108,001,0,recog,11,WHITE,HF,target,right,aqua,pleasantness,liberal,no,z,1,0.60020002097,3,24
108,001,0,recog,12,UPTIGHT,LF,lure,-,-,-,liberal,no,m,1,0.813453683194,1,25
108,001,0,recog,13,ANSWER,HF,target,right,aqua,pleasantness,conservative,no,z,1,3.03900042306,1,26
108,001,0,recog,14,PHOBIC,LF,target,left,yellow,imageability,liberal,no,z,1,1.59973406303,3,29
108,001,0,recog,15,WAITING,HF,target,left,yellow,imageability,conservative,no,z,1,1.29319936034,1,30
108,001,0,recog,16,DOING,HF,lure,-,-,-,conservative,no,m,1,0.760074553271,3,33
108,001,0,recog,17,FUTURE,HF,target,left,yellow,imageability,conservative,no,z,1,0.946668162424,1,34
108,001,0,recog,18,USUAL,HF,target,right,aqua,pleasantness,liberal,no,m,0,3.3057472301,-3,31
108,001,0,recog,19,SERIOUS,HF,target,right,aqua,pleasantness,liberal,no,z,1,1.07995266366,3,34
108,001,0,recog,20,CEMENTED,LF,lure,-,-,-,conservative,no,m,1,1.47981166647,3,37
108,001,0,recog,21,TROUBLE,HF,lure,-,-,-,liberal,no,z,0,3.27911467258,-1,36
108,001,0,recog,22,ALMOST,HF,lure,-,-,-,conservative,no,z,0,3.22577183678,-3,33
108,001,0,recog,23,JEALOUSLY,LF,target,left,yellow,imageability,conservative,no,z,1,1.15992072483,1,34
108,001,0,recog,24,WATCH,HF,lure,-,-,-,conservative,no,m,1,1.58642694945,3,37
108,001,0,recog,25,ACCORDING,HF,target,right,aqua,pleasantness,conservative,no,z,1,1.54661339129,1,38
108,001,0,recog,26,USELESSLY,LF,target,right,aqua,pleasantness,liberal,no,z,1,1.09335216229,3,41
108,001,0,recog,27,ENVIRONS,LF,target,left,yellow,imageability,conservative,yes,z,1,0.560222955925,1,42
108,001,0,recog,28,LUNACY,LF,lure,-,-,-,liberal,no,m,1,1.57307804264,1,43
108,001,0,recog,29,EDUCATION,HF,lure,-,-,-,liberal,no,m,1,2.55912826638,1,44
108,001,0,recog,30,CAKED,LF,target,left,yellow,imageability,liberal,no,z,1,0.960021101919,3,47
108,001,0,recog,31,FRIEND,HF,lure,-,-,-,liberal,no,m,1,1.01341269649,1,48
108,001,0,recog,32,TAWNY,LF,target,left,yellow,imageability,conservative,no,z,1,0.826758230519,1,49
108,001,0,recog,33,ARPEGGIO,LF,lure,-,-,-,liberal,no,m,1,0.760091783816,1,50
108,001,0,recog,34,JARRED,LF,target,left,yellow,imageability,conservative,no,z,1,0.760087017921,1,51
108,001,0,recog,35,MORNING,HF,lure,-,-,-,conservative,no,m,1,2.87942760861,3,54
108,001,0,recog,36,BOMBARDED,LF,lure,-,-,-,conservative,no,m,1,1.0134482574,3,57
108,001,0,recog,37,HELICAL,LF,lure,-,-,-,conservative,no,m,1,1.06660449006,3,60
108,001,0,recog,38,BRACES,LF,target,left,yellow,imageability,liberal,no,z,1,0.626855674752,3,63
108,001,0,recog,39,NOTHING,HF,lure,-,-,-,liberal,no,m,1,2.42614255014,1,64
108,001,0,recog,40,ORCHARDS,LF,lure,-,-,-,liberal,no,m,1,0.826730734967,1,65
108,001,0,recog,41,GNARLED,LF,lure,-,-,-,conservative,no,m,1,1.0397501351,3,68
108,001,0,recog,42,REFECTORY,LF,lure,-,-,-,conservative,no,m,1,1.31964678115,3,71
108,001,0,recog,43,MOTHER,HF,lure,-,-,-,liberal,no,m,1,1.173077896,1,72
108,001,0,recog,44,ODDER,LF,target,right,aqua,pleasantness,liberal,no,z,1,0.919892994647,3,75
108,001,0,recog,45,EASILY,HF,lure,-,-,-,conservative,no,m,1,1.18657271254,3,78
108,001,0,recog,46,ENROLMENT,LF,lure,-,-,-,liberal,no,m,1,1.11969363357,1,79
108,001,0,recog,47,BROUGHT,HF,target,left,yellow,imageability,liberal,no,m,0,1.95937330673,-3,76
108,001,0,recog,48,EXCEPT,HF,target,right,aqua,pleasantness,conservative,no,z,1,1.00022912959,1,77
108,001,0,recog,49,SOUND,HF,lure,-,-,-,liberal,no,m,1,0.76008298524,1,78
108,001,0,recog,50,MAJOR,HF,target,left,yellow,imageability,conservative,no,z,1,0.76009398346,1,79
108,001,0,recog,51,HEIFERS,LF,lure,-,-,-,conservative,no,m,1,0.586521167542,3,82
108,001,0,recog,52,VESTIBULE,LF,target,right,aqua,pleasantness,conservative,no,z,1,0.813417389067,1,83
108,001,0,recog,53,BAGGY,LF,lure,-,-,-,liberal,no,m,1,2.98586325399,1,84
108,001,0,recog,54,BOOKS,HF,target,left,yellow,imageability,liberal,no,z,1,0.82676776231,3,87
108,001,0,recog,55,SHUNNED,LF,target,left,yellow,imageability,liberal,no,z,1,1.09327517474,3,90
108,001,0,recog,56,IMPORTANT,HF,lure,-,-,-,conservative,yes,z,0,0.573495241803,-3,87
108,001,0,recog,57,ANVIL,LF,target,left,yellow,imageability,conservative,no,z,1,4.21219123413,1,88
108,001,0,recog,58,FOUND,HF,lure,-,-,-,liberal,no,z,0,4.8784542661,-1,87
108,001,0,recog,59,REACHED,HF,lure,-,-,-,liberal,no,m,1,0.813140967124,1,88
108,001,0,recog,60,GAMBITS,LF,lure,-,-,-,conservative,no,m,1,0.773399997213,3,91
108,001,0,recog,61,GARDEN,HF,lure,-,-,-,conservative,no,m,1,0.773453521887,3,94
108,001,0,recog,62,FALCON,LF,lure,-,-,-,conservative,no,m,1,0.906666901295,3,97
108,001,0,recog,63,TWOFOLD,LF,lure,-,-,-,liberal,no,m,1,0.733190136503,1,98
108,001,0,recog,64,CRICKETER,LF,lure,-,-,-,liberal,no,m,1,0.773418694189,1,99
108,001,0,recog,65,VAINLY,LF,target,right,aqua,pleasantness,conservative,no,m,0,4.518675345,-1,98
108,001,0,recog,66,WINDOW,HF,lure,-,-,-,liberal,no,m,1,1.15988992981,1,99
108,001,0,recog,67,LIKELY,HF,lure,-,-,-,conservative,no,m,1,0.773436291342,3,102
108,001,0,recog,68,OPENED,HF,target,left,yellow,imageability,conservative,no,m,0,0.893377751479,-1,101
108,001,0,recog,69,CREAK,LF,lure,-,-,-,liberal,no,m,1,3.93181286601,1,102
108,001,0,recog,70,REDDENED,LF,lure,-,-,-,conservative,no,m,1,0.773405862932,3,105
108,001,0,recog,71,QUICKLY,HF,target,right,aqua,pleasantness,liberal,yes,z,1,1.35988633706,3,108
108,001,0,recog,72,COBALT,LF,lure,-,-,-,conservative,no,m,1,1.5064295597,3,111
108,001,0,recog,73,BUSINESS,HF,lure,-,-,-,conservative,no,m,1,0.760145308489,3,114
108,001,0,recog,74,AROUND,HF,lure,-,-,-,liberal,no,m,1,3.39906713094,1,115
108,001,0,recog,75,WOMAN,HF,target,right,aqua,pleasantness,conservative,no,z,1,0.866736028777,1,116
108,001,0,recog,76,EXUDED,LF,target,right,aqua,pleasantness,conservative,no,z,1,1.79968244471,1,117
108,001,0,recog,77,HOSPITAL,HF,target,right,aqua,pleasantness,liberal,no,z,1,0.840064610879,3,120
108,001,0,recog,78,ULCER,LF,target,left,yellow,imageability,liberal,no,z,1,0.720100787693,3,123
108,001,0,recog,79,JACKALS,LF,lure,-,-,-,liberal,no,m,1,0.680181280002,1,124
108,001,0,recog,80,TRIED,HF,target,left,yellow,imageability,liberal,no,z,1,1.4264600321,3,127
108,001,0,recog,81,COUNCIL,HF,target,right,aqua,pleasantness,liberal,no,z,1,0.720089789472,3,130
108,001,0,recog,82,RETURN,HF,target,left,yellow,imageability,liberal,no,z,1,4.30538465543,3,133
108,001,0,recog,83,NEITHER,HF,lure,-,-,-,liberal,no,m,1,0.640137125813,1,134
108,001,0,recog,84,SCABS,LF,target,right,aqua,pleasantness,conservative,no,z,1,0.880121596326,1,135
108,001,0,recog,85,YACHTING,LF,target,left,yellow,imageability,liberal,no,z,1,0.840069010167,3,138
108,001,0,recog,86,PIANOS,LF,lure,-,-,-,liberal,no,m,1,0.920118458167,1,139
108,001,0,recog,87,AMULETS,LF,target,left,yellow,imageability,conservative,no,z,1,0.826738800329,1,140
108,001,0,recog,88,AGILITY,LF,target,right,aqua,pleasantness,liberal,no,z,1,0.78661435913,3,143
108,001,0,recog,89,FLOOR,HF,target,left,yellow,imageability,liberal,no,z,1,1.04006248456,3,146
108,001,0,recog,90,SPACE,HF,target,left,yellow,imageability,liberal,no,z,1,2.79930007325,3,149
108,001,0,recog,91,SENSE,HF,lure,-,-,-,conservative,no,m,1,0.680183846254,3,152
108,001,0,recog,92,DRINK,HF,lure,-,-,-,conservative,no,z,0,1.67971275581,-3,149
108,001,0,recog,93,COACHED,LF,lure,-,-,-,liberal,no,m,1,1.9596211333,1,150
108,001,0,recog,94,CIPHER,LF,target,right,aqua,pleasantness,conservative,no,z,1,2.01300282948,1,151
108,001,0,recog,95,PROBABLY,HF,target,right,aqua,pleasantness,conservative,no,z,1,0.773385699527,1,152
108,001,1,source,0,FUSELAGE,LF,target,left,yellow,imageability,conservative,no,1,1,2.67931388701,-,-
108,001,1,source,1,VOLITION,LF,target,right,aqua,pleasantness,liberal,yes,2,0,0.906436671879,-,-
108,001,1,source,2,INVOLVED,HF,target,left,yellow,imageability,liberal,no,8,0,2.47940106624,-,-
108,001,1,source,3,DINER,LF,target,left,yellow,imageability,conservative,no,1,1,2.11969693304,-,-
108,001,1,source,4,SEEMED,HF,target,right,aqua,pleasantness,liberal,no,2,0,1.6131606906,-,-
108,001,1,source,5,UNBEATEN,LF,target,left,yellow,imageability,liberal,no,2,1,0.933352250272,-,-
108,001,1,source,6,PASSED,HF,target,right,aqua,pleasantness,liberal,no,8,1,1.47978747039,-,-
108,001,1,source,7,SMEARING,LF,target,right,aqua,pleasantness,liberal,no,2,0,1.03996643343,-,-
108,001,1,source,8,THOUSAND,HF,target,right,aqua,pleasantness,conservative,no,9,1,1.61293889315,-,-
108,001,1,source,9,AFOOT,LF,target,right,aqua,pleasantness,conservative,no,9,1,1.34650443558,-,-
108,001,1,source,10,NOSTRIL,LF,target,left,yellow,imageability,conservative,no,1,1,1.09330523655,-,-
