date,subj,session,cycle,task,trial,item,wf,type,source,colour,encoding,bias,null,response,corr,rt,points,total
2019_Apr_24,9,001,0,source,0,KNOWLEDGE,HF,target,right,yellow,imageability,conservative,no,9,1,3.98552597524,-,-
2019_Apr_24,9,001,0,source,1,INCLUDING,HF,target,left,aqua,pleasantness,conservative,no,1,1,5.01180145715,-,-
2019_Apr_24,9,001,0,source,2,FOCUSES,LF,target,right,yellow,imageability,conservative,no,9,1,2.45267539052,-,-
2019_Apr_24,9,001,0,source,3,POINT,HF,target,left,aqua,pleasantness,liberal,no,1,1,6.39793028159,-,-
2019_Apr_24,9,001,0,source,4,SOUND,HF,target,right,yellow,imageability,conservative,no,9,1,2.21276864072,-,-
2019_Apr_24,9,001,0,source,5,BRING,HF,target,left,aqua,pleasantness,conservative,no,1,1,2.38580401021,-,-
2019_Apr_24,9,001,0,source,6,COGENT,LF,target,right,yellow,imageability,liberal,no,8,1,7.57067713107,-,-
2019_Apr_24,9,001,0,source,7,SUMMER,HF,target,right,yellow,imageability,conservative,no,9,1,3.35879274737,-,-
2019_Apr_24,9,001,0,source,8,TREES,HF,target,right,yellow,imageability,liberal,no,9,1,0.70676104608,-,-
2019_Apr_24,9,001,0,source,9,DAPPER,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.81289167411,-,-
2019_Apr_24,9,001,0,source,10,PAVILIONS,LF,target,right,yellow,imageability,liberal,no,9,1,0.920024240157,-,-
2019_Apr_24,9,001,0,source,11,BUSINESS,HF,target,right,yellow,imageability,liberal,no,9,1,0.879816945526,-,-
2019_Apr_24,9,001,0,source,12,FRIEND,HF,target,right,yellow,imageability,liberal,no,9,1,0.706694690161,-,-
2019_Apr_24,9,001,0,source,13,OPENED,HF,target,left,aqua,pleasantness,liberal,yes,9,0,1.70624669595,-,-
2019_Apr_24,9,001,0,source,14,EATERS,LF,target,left,aqua,pleasantness,liberal,no,1,1,3.89216978021,-,-
2019_Apr_24,9,001,0,source,15,CELLO,LF,target,left,aqua,pleasantness,liberal,yes,8,0,3.39899051003,-,-
2019_Apr_24,9,001,0,source,16,SNIGGERED,LF,target,right,yellow,imageability,liberal,no,9,1,5.59813932108,-,-
2019_Apr_24,9,001,0,source,17,MELODIC,LF,target,left,aqua,pleasantness,conservative,no,1,1,1.23981033207,-,-
2019_Apr_24,9,001,0,source,18,FONDLE,LF,target,left,aqua,pleasantness,liberal,no,1,1,1.45318497473,-,-
2019_Apr_24,9,001,0,source,19,SEVEN,HF,target,right,yellow,imageability,liberal,no,9,1,1.17319191084,-,-
2019_Apr_24,9,001,0,source,20,TILTS,LF,target,right,yellow,imageability,conservative,no,9,1,0.853240479017,-,-
